Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,334.94000244140625,339.0299987792969,334.739990234375,336.6300048828125,336.6300048828125,28563500
2021-11-30,335.32000732421875,337.7799987792969,328.989990234375,330.5899963378906,330.5899963378906,42885600
2021-12-01,335.1300048828125,339.2799987792969,329.3900146484375,330.0799865722656,330.0799865722656,33337600
2021-12-02,330.29998779296875,333.489990234375,327.79998779296875,329.489990234375,329.489990234375,30766000
2021-12-03,331.989990234375,332.70001220703125,318.0299987792969,323.010009765625,323.010009765625,41779300
2021-12-06,323.95001220703125,327.45001220703125,319.2300109863281,326.19000244140625,326.19000244140625,30032600
2021-12-07,331.6400146484375,335.79998779296875,330.1000061035156,334.9200134277344,334.9200134277344,31021900
2021-12-08,335.30999755859375,335.5,330.79998779296875,334.9700012207031,334.9700012207031,24761000
2021-12-09,334.4100036621094,336.489990234375,332.1199951171875,333.1000061035156,333.1000061035156,22214200
2021-12-10,334.9800109863281,343.0,334.7900085449219,342.5400085449219,342.5400085449219,38095700
2021-12-13,340.67999267578125,343.7900085449219,339.0799865722656,339.3999938964844,339.3999938964844,28899400
2021-12-14,333.2200012207031,334.6400146484375,324.1099853515625,328.3399963378906,328.3399963378906,44438700
2021-12-15,328.6099853515625,335.19000244140625,324.5,334.6499938964844,334.6499938964844,35381100
2021-12-16,335.7099914550781,336.760009765625,323.0199890136719,324.8999938964844,324.8999938964844,35034800
2021-12-17,320.8800048828125,324.9200134277344,317.25,323.79998779296875,323.79998779296875,47750300
2021-12-20,320.04998779296875,322.79998779296875,317.57000732421875,319.9100036621094,319.9100036621094,28326500
2021-12-21,323.2900085449219,327.7300109863281,319.79998779296875,327.2900085449219,327.2900085449219,24740600
2021-12-22,328.29998779296875,333.6099853515625,325.75,333.20001220703125,333.20001220703125,24831500
2021-12-23,332.75,336.3900146484375,332.7300109863281,334.69000244140625,334.69000244140625,19617800
2021-12-27,335.4599914550781,342.4800109863281,335.42999267578125,342.45001220703125,342.45001220703125,19947000
2021-12-28,343.1499938964844,343.80999755859375,340.32000732421875,341.25,341.25,15661500
2021-12-29,341.29998779296875,344.29998779296875,339.67999267578125,341.95001220703125,341.95001220703125,15042000
2021-12-30,341.9100036621094,343.1300048828125,338.82000732421875,339.32000732421875,339.32000732421875,15994500
2021-12-31,338.510009765625,339.3599853515625,335.8500061035156,336.32000732421875,336.32000732421875,18000800
2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,334.75,28865100
2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,329.010009765625,32674300
2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,316.3800048828125,40054300
2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,313.8800048828125,39646100
2022-01-07,314.1499938964844,316.5,310.0899963378906,314.0400085449219,314.0400085449219,32720000
2022-01-10,309.489990234375,314.7200012207031,304.69000244140625,314.2699890136719,314.2699890136719,44289500
2022-01-11,313.3800048828125,316.6099853515625,309.8900146484375,314.9800109863281,314.9800109863281,29386800
2022-01-12,319.6700134277344,323.4100036621094,317.0799865722656,318.2699890136719,318.2699890136719,34372200
