Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-24 00:00:00-04:00,149.0777941976829,151.1608595156955,148.19294395372555,148.6077117919922,5610900,0.0,0.0
2018-10-25 00:00:00-04:00,150.01792420638358,153.33609489332744,149.71375738806233,152.0825653076172,5105400,0.0,0.0
2018-10-26 00:00:00-04:00,150.89359526835182,154.02741288420268,150.64472889648331,152.0272979736328,35352000,0.0,0.0
2018-10-29 00:00:00-04:00,153.20707173370857,155.91690906754263,151.70467567322623,152.5342254638672,14032500,0.0,0.0
2018-10-30 00:00:00-04:00,153.10570799249527,154.54357765595594,149.99954047427005,151.6217498779297,57375600,0.0,0.0
2018-10-31 00:00:00-04:00,149.0777638663605,152.63557417902504,148.6814202336577,152.5157470703125,18032200,0.0,0.0
2018-11-01 00:00:00-04:00,151.76921829187748,152.52501540112073,149.26215859408848,149.3174591064453,11423500,0.0,0.0
2018-11-02 00:00:00-04:00,148.0823798402196,149.14234392033555,143.27103796351778,147.32656860351562,6835100,0.0,0.0
2018-11-05 00:00:00-05:00,145.3079990590495,149.49258252187383,145.12365933502724,149.30824279785156,4477400,0.0,0.0
2018-11-06 00:00:00-05:00,149.16074185835598,153.32688647217773,149.0132644767194,152.57107543945312,2510600,0.0,0.0
2018-11-07 00:00:00-05:00,151.6585974089949,153.7877655029297,151.3728687299206,153.7877655029297,7626300,0.0,0.0
2018-11-08 00:00:00-05:00,151.6217577958518,153.1425783121885,150.17466192806816,152.359130859375,4010000,0.0,0.0
2018-11-09 00:00:00-05:00,150.22993383465445,151.10555794575086,147.98095295868148,148.87501525878906,3249100,0.0,0.0
2018-11-12 00:00:00-05:00,147.52933172400017,149.5939732240952,146.46936775034766,146.75509643554688,1990800,0.0,0.0
2018-11-13 00:00:00-05:00,147.67680598142508,147.7781949382904,144.27568395883878,144.6443634033203,2507100,0.0,0.0
2018-11-14 00:00:00-05:00,145.8057408056114,145.85182925552334,141.02204942769094,141.35386657714844,2338700,0.0,0.0
2018-11-15 00:00:00-05:00,143.87013401465964,144.06369987267047,140.61648926250237,143.0313720703125,2759400,0.0,0.0
2018-11-16 00:00:00-05:00,141.7041159495719,146.05460103063544,141.39072294190586,145.704345703125,2726800,0.0,0.0
2018-11-19 00:00:00-05:00,146.1928598089932,148.81052064302386,146.03617032923296,147.01318359375,2464700,0.0,0.0
2018-11-20 00:00:00-05:00,145.16050101485567,147.64912185475035,144.9300728988614,145.5107421875,2151600,0.0,0.0
2018-11-21 00:00:00-05:00,146.77352056307848,148.61694577659216,146.13753661414134,146.60760498046875,2070900,0.0,0.0
